StockCode,Description,TotalQuantity,TotalRevenue,TotalOrders,AvgUnitPrice
22612,TEA COSY VINTAGE UNION JACK,1001,3984.99,109,4.2005405405405405
23306,SET OF 36 DOILIES PANTRY DESIGN,2741,3983.6,244,1.7355510204081632
85206A,CREAM FELT EASTER EGG BASKET,2327,3982.91,318,1.8081055900621115
22244,"HOOK, 3 HANGER ,MAGIC GARDEN",2028,3979.2,208,2.638894230769231
21524,SPOTTY  HOME SWEET HOME DOORMAT,666,3978.34,120,7.139504132231405
22959,WRAP CHRISTMAS VILLAGE,9713,3971.46,283,0.41809859154929574
22356,CHARLOTTE BAG PINK WITH WHITE SPOTS,4343,3959.52,319,1.0442633228840126
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,2940,3956.48,231,1.8345493562231758
22788,BROCANTE COAT RACK,476,3942.62,84,11.650238095238095
23526,WALL ART DOG LICENCE,604,3939.76,114,8.880260869565218
23557,LANDMARK FRAME BAKER STREET,350,3930.27,32,13.181875
22359,GLASS JAR KINGS CHOICE,1236,3928.2799999999997,194,3.652164948453608
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1763,3924.92,211,2.8269339622641505
21812,GARLAND WITH HEARTS AND BELLS,805,3917.49,205,5.597766990291262
22980,PANTRY SCRUBBING BRUSH,2363,3910.01,291,1.9236734693877549
22179,SET 10 NIGHT OWL LIGHTS,505,3908.73,170,8.948604651162789
23081,GREEN METAL BOX ARMY SUPPLIES,467,3906.25,135,9.44148148148148
46000M,POLYESTER FILLER PAD 45x45cm,2517,3901.3500000000004,353,1.55
23049,RECYCLED ACAPULCO MAT RED,456,3896.84,186,8.921505376344086
22314,OFFICE MUG WARMER CHOC+BLUE,1110,3888.48,249,4.341181102362205
21192,WHITE BELL HONEYCOMB PAPER,2167,3885.64,216,2.3542792792792793
22790,"MIRROR, ARCHED GEORGIAN",200,3884.0,1,19.42
23552,BICYCLE PUNCTURE REPAIR KIT,1863,3881.91,116,2.2640650406504066
37340,MULTICOLOUR SPRING FLOWER MUG,13665,3881.33,204,3.3486341463414635
21181,PLEASE ONE PERSON  METAL SIGN,1867,3868.0699999999997,178,2.421564245810056
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,923,3864.87,186,4.585401069518717
21244,BLUE  SPOTTY PLATE,2404,3859.6299999999997,204,1.8492718446601941
22475,SKULL DESIGN TV DINNER TRAY,769,3856.7999999999997,256,6.003552123552124
22591,CARDHOLDER GINGHAM CHRISTMAS TREE,1347,3854.15,208,3.4746411483253583
22843,BISCUIT TIN VINTAGE GREEN,594,3851.76,176,7.18123595505618
22478,BIRDHOUSE GARDEN MARKER,2772,3848.41,317,1.6139747634069401
22272,FELTCRAFT DOLL MARIA,1371,3848.34,300,3.1599342105263157
22445,PENCIL CASE LIFE IS BEAUTIFUL,1251,3842.66,271,3.474483985765125
21447,12 IVORY ROSE PEG PLACE SETTINGS,2776,3842.63,336,1.6250146627565982
22118,JOY WOODEN BLOCK LETTERS,799,3842.07,271,5.403333333333333
23111,PARISIENNE SEWING BOX,312,3839.2400000000002,138,13.468920863309354
21055,TOOL BOX SOFT TOY,386,3839.0899999999997,222,10.465964125560538
85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,2458,3837.2999999999997,255,1.7586923076923076
22892,SET OF SALT AND PEPPER TOADSTOOLS,3123,3835.71,265,1.3115471698113208
21067,VINTAGE RED TEATIME MUG,4763,3830.67,266,1.505805243445693
22778,GLASS CLOCHE SMALL,968,3828.66,193,4.9195
22777,GLASS CLOCHE LARGE,453,3821.8199999999997,99,10.184545454545454
23194,GYMKHANA TREASURE BOOK BOX,1715,3815.5299999999997,200,2.7494581280788175
85040A,S/4 PINK FLOWER CANDLES IN BOWL,2116,3809.64,434,2.079955456570156
85114B,IVORY ENCHANTED FOREST PLACEMAT,2073,3804.81,242,2.2163374485596705
21846,PINK DIAMANTE PEN IN GIFT BOX,1601,3803.4,264,3.9122641509433964
21034,REX CASH+CARRY JUMBO SHOPPER,4002,3801.9,1902,0.95
22355,"CHARLOTTE BAG , SUKI DESIGN",4406,3796.59,339,1.0933333333333333
21100,CHARLIE AND LOLA CHARLOTTE BAG,2540,3795.0,269,2.230259259259259
84016,FLAG OF ST GEORGE CAR FLAG,1004,3791.67,62,53.19758064516129
22458,CAST IRON HOOK GARDEN FORK,1523,3790.47,173,2.86393063583815
71038,WHITE HANGING BEADS CANDLE HOLDER,717,3789.25,144,5.411379310344827
23253,16 PIECE CUTLERY SET PANTRY DESIGN,254,3785.06,69,17.16623188405797
21154,RED SPOTTY OVEN GLOVE,2816,3778.37,339,1.5846397694524497
84356,POMPOM CURTAIN,750,3771.04,133,6.5449624060150375
21743,STAR PORTABLE TABLE LIGHT,1288,3767.08,182,3.553675675675676
21627,ELEPHANT CARNIVAL POUFFE,195,3766.35,115,22.700782608695654
23299,FOOD COVER WITH BEADS SET 2,1009,3761.63,145,4.374758620689655
21813,GARLAND WITH STARS AND BELLS,815,3761.41,184,5.46010752688172
22830,UTILTY CABINET WITH HOOKS,181,3760.71,18,26.23611111111111
21329,DINOSAURS  WRITING SET,2082,3760.66,555,2.1119964349376112
21845,DAIRY MAID STRIPE MUG,2521,3758.41,158,2.1685443037974683
23092,LARGE ANTIQUE WHITE PHOTO FRAME,523,3757.78,135,8.100962962962964
21899,"KEY FOB , GARAGE DESIGN",5899,3756.66,475,0.7801863354037267
22544,MINI JIGSAW SPACEBOY,9382,3756.52,341,0.5107894736842106
22425,ENAMEL COLANDER CREAM,732,3754.4,278,5.648817204301075
84558A,3D DOG PICTURE PLAYING CARDS,1280,3753.2799999999997,218,3.373677130044843
85049C,ROMANTIC PINKS RIBBONS,2982,3748.75,501,1.3440980392156863
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",4453,3740.38,359,1.0619220055710306
22162,HEART GARLAND RUSTIC PADDED,1218,3737.9,260,3.383735849056604
21795,SET OF 3 BLUE STRIPE BASKET,441,3734.9399999999996,80,13.154124999999999
22732,3D VINTAGE CHRISTMAS STICKERS,2713,3733.84,299,1.577467105263158
22494,EMERGENCY FIRST AID TIN,2765,3730.92,468,1.7174734607218682
23064,CINDERELLA CHANDELIER,221,3717.56,23,45.48739130434783
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,7056,3715.68,550,0.6896672504378284
21041,RED SPOTTY OVEN GLOVE DOUBLE,1284,3715.23,173,3.6568181818181817
22782,SET 3 WICKER STORAGE BASKETS,254,3712.2999999999997,84,19.985714285714284
23236,STORAGE TIN VINTAGE DOILY,1272,3704.78,190,3.4103125
21351,CINAMMON & ORANGE WREATH,1099,3702.75,177,5.481508379888268
21495,SKULLS AND CROSSBONES WRAP,9065,3695.3,267,0.41797752808988764
23182,TOILET SIGN OCCUPIED OR VACANT,3741,3688.21,433,1.5304347826086955
22398,MAGNETS PACK OF 4 SWALLOWS,4239,3687.48,430,1.0138812785388127
20692,FLORAL ELEPHANT SOFT TOY,908,3682.76,139,4.892127659574468
23130,MISTLETOE HEART WREATH GREEN,882,3676.18,179,4.532011173184357
23013,GLASS APOTHECARY BOTTLE TONIC,924,3674.16,223,4.672946428571429
20785,FUSCHIA RETRO BAR STOOL,102,3672.35,36,37.55945945945946
22080,RIBBON REEL SPOTS DESIGN,2211,3668.58,277,1.8497491039426521
21240,BLUE POLKADOT CUP,4191,3658.27,399,1.1093516209476308
22769,CHALKBOARD KITCHEN ORGANISER,174,3656.86,45,29.071555555555555
22823,CHEST NATURAL WOOD 20 DRAWERS,32,3655.0,18,117.5
21592,RETRO SPOT  CIGAR BOX MATCHES,3104,3652.0,190,1.2430729166666665
85232D,SET/3 DECOUPAGE STACKING TINS,702,3646.83,224,5.972544642857144
22962,JAM JAR WITH PINK LID,4366,3640.93,354,1.051380281690141
21486,PINK HEART DOTS HOT WATER BOTTLE,1116,3638.67,294,3.903737373737374
22589,CARDHOLDER GINGHAM STAR,1317,3626.78,238,3.0943153526970955
22461,SAVOY ART DECO CLOCK,410,3607.81,146,12.368561643835616
23294,SET OF 6 SNACK LOAF BAKING CASES,4392,3607.81,354,1.089776536312849
22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,1451,3597.68,196,3.0384848484848486
23032,DRAWER KNOB CRACKLE GLAZE IVORY,2154,3595.38,194,1.7784848484848483
21787,RAIN PONCHO WITH RED SPOTS,4727,3592.97,161,1.0345061728395062
21866,UNION JACK FLAG LUGGAGE TAG,2168,3591.5,453,1.7704347826086957
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,2791,3591.06,184,1.5565405405405404
21509,COWBOYS AND INDIANS BIRTHDAY CARD,8696,3587.2200000000003,628,0.5027344992050874
23085,ANTIQUE SILVER BAUBLE LAMP,376,3583.23,78,10.834999999999999
71477,COLOURED GLASS STAR T-LIGHT HOLDER,1012,3580.96,52,4.481132075471698
23497,CLASSIC CHROME BICYCLE BELL,2498,3578.62,193,1.6264141414141413
22944,CHRISTMAS METAL POSTCARD WITH BELLS,4870,3577.99,158,1.3859509202453988
20784,RED RETRO BAR STOOL,101,3570.87,37,36.42621621621622
21112,"SWISS ROLL TOWEL, PINK  SPOTS",1516,3570.57,150,3.2843708609271522
22704,WRAP RED APPLES,8678,3564.76,295,0.41891525423728815
84797A,PINK HAWAIIAN PICNIC HAMPER FOR 4,499,3560.09,61,11.082131147540984
22334,DINOSAUR PARTY BAG + STICKER SET,2230,3552.3599999999997,264,1.7397014925373133
21794,CLASSIC FRENCH STYLE BASKET NATURAL,713,3552.09,178,6.00247191011236
22603,CHRISTMAS RETROSPOT TREE WOOD,4143,3552.09,388,1.0315656565656566
23210,WHITE ROCKING HORSE HAND PAINTED,2849,3551.53,192,1.4668316831683168
22320,BIRDS MOBILE VINTAGE DESIGN,598,3545.02,180,6.202333333333334
23332,IVORY WICKER HEART LARGE,2059,3542.71,287,1.7616891891891888
20886,BOX OF 9 PEBBLE CANDLES,1777,3540.22,308,2.387220447284345
21784,SHOE SHINE BOX,290,3538.2799999999997,178,12.688595505617975
21054,NURSE'S BAG SOFT TOY,382,3538.0,182,9.614863387978142
20786,BLACK RETRO BAR STOOL,99,3533.9,31,36.876875
23191,BUNDLE OF 3 RETRO NOTE BOOKS,2141,3529.89,276,1.8762411347517731
22602,CHRISTMAS RETROSPOT HEART WOOD,4307,3529.31,289,0.9706397306397305
47505,MINATURE COLOURED GARDENING SET,737,3527.42,178,5.334722222222222
21179,NO JUNK MAIL METAL SIGN,4284,3517.9,505,1.328307392996109
23091,ZINC HERB GARDEN CONTAINER,556,3516.64,204,6.744
23353,6 GIFT TAGS VINTAGE CHRISTMAS,4007,3510.05,327,0.9988519637462235
22765,NEWSPAPER STAND,311,3508.2999999999997,53,17.09075471698113
23189,SET OF 12 FORK CANDLES,1249,3507.5099999999998,141,3.3956338028169015
22902,TOTE BAG I LOVE LONDON,1716,3506.56,199,2.593283582089552
84352,SILVER CHRISTMAS TREE BAUBLE STAND,206,3505.58,126,17.837936507936508
21499,BLUE POLKADOT WRAP,8702,3504.84,264,0.41628787878787876
22076,6 RIBBONS EMPIRE,2353,3490.19,375,1.7291556728232191
21469,POLKA DOT RAFFIA FOOD COVER,1165,3482.01,210,3.972095238095238
22352,LUNCHBOX WITH CUTLERY RETROSPOT,1412,3481.89,231,2.9080769230769232
21466,RED FLOWER CROCHET FOOD COVER,927,3479.79,275,3.984782608695652
22764,"RUSTIC WOODEN CABINET, GLASS DOORS",183,3462.49,25,24.5848
22309,TEA COSY RED  STRIPE,1331,3459.08,266,3.446516853932584
20675,BLUE SPOTTY BOWL,2849,3455.94,308,1.4349838187702264
21559,STRAWBERRY LUNCHBOX WITH CUTLERY,1448,3454.09,183,2.910752688172043
22172,METAL SHELF WITH RAIL,378,3451.82,185,9.579301075268818
23350,ROLL WRAP VINTAGE SPOT,2712,3445.08,305,1.4612861736334404
23426,METAL SIGN DROP YOUR PANTS,1275,3444.43,206,3.3344711538461542
84510A,SET OF 4 ENGLISH ROSE COASTERS,2477,3439.84,532,1.7682990654205606
23354,6 GIFT TAGS 50'S CHRISTMAS,3740,3429.4,322,0.9722121212121212
22531,MAGIC DRAWING SLATE CIRCUS PARADE,7944,3427.12,402,0.486019656019656
23156,SET OF 5 MINI GROCERY MAGNETS,1665,3423.29,205,2.261497584541063
23127,FELTCRAFT GIRL NICOLE KIT,668,3422.4,182,5.279782608695652
48189,DOOR MAT FRIENDSHIP,468,3420.2400000000002,179,8.162513966480446
23014,GLASS APOTHECARY BOTTLE ELIXIR,856,3419.58,209,4.863838862559241
23388,WOODLAND MINI BACKPACK,816,3411.34,152,4.640657894736842
21191,LARGE WHITE HONEYCOMB PAPER BELL,1479,3408.61,201,2.8894554455445545
21902,"KEY FOB , FRONT  DOOR",5359,3408.0299999999997,474,0.7798367346938776
21364,PEACE SMALL WOOD LETTERS,468,3407.7200000000003,167,7.620658682634731
84472,PINK AND LILAC QUILTED THROW,87,3402.32,30,46.424
37501,TEA TIME TEA SET IN GIFT BOX,481,3401.15,177,7.300000000000001
22440,BALLOON WATER BOMB PACK OF 35,8523,3399.41,292,0.4507333333333333
20983,12 PENCILS TALL TUBE RED RETROSPOT,3922,3395.02,383,0.9333080808080807
22059,CERAMIC STRWBERRY DESIGN MUG,2347,3393.1,215,1.8904017857142856
22459,CAST IRON HOOK GARDEN TROWEL,1378,3389.74,172,2.887586206896551
44230,SQUARE MIRROR CURTAIN,347,3381.62,53,9.157547169811322
22428,ENAMEL FIRE BUCKET CREAM,459,3379.67,191,7.964375
21327,SKULLS WRITING SET,1926,3378.51,495,2.00214
84968D,S/16 VINTAGE RED CUTLERY,288,3375.25,39,14.775641025641026
23188,VINTAGE  2 METRE FOLDING RULER,1627,3374.05,152,1.9993506493506492
22862,LOVE HEART NAPKIN BOX,758,3373.22,221,4.877876106194691
22776,SWEETHEART 3 TIER CAKE STAND,284,3371.58,158,12.072264150943397
84508A,CAMOFLAGE DESIGN TEDDY,1586,3368.9199999999996,44,2.541555555555555
22822,CREAM WALL PLANTER HEART SHAPED,581,3367.35,183,6.362445652173913
22366,DOOR MAT AIRMAIL,455,3366.71,139,8.424676258992806
21211,SET OF 72 SKULL PAPER  DOILIES,2405,3365.64,237,1.6702521008403362
22223,CAKE PLATE LOVEBIRD PINK,726,3359.66,175,5.410338983050847
22477,WATERING CAN GARDEN MARKER,2414,3356.74,276,1.6487364620938627
23239,SET OF 4 KNICK KNACK TINS POPPIES,842,3353.84,178,4.393646408839779
22047,EMPIRE GIFT WRAP,8250,3351.0,261,0.4179310344827586
22167,"WALL MIRROR , DIAMANTE OVAL SHAPE",425,3331.91,129,11.791846153846153
21917,SET 12 KIDS  WHITE CHALK STICKS,8010,3324.22,467,0.4968577494692144
22136,LOVE HEART SOCK HANGER,1989,3322.22,265,2.0905555555555555
22536,MAGIC DRAWING SLATE PURDEY,8443,3314.08,351,0.45702777777777776
23065,LARGE DECO JEWELLERY STAND,263,3302.44,95,12.99621052631579
84813,SET OF 4 DIAMOND NAPKIN RINGS,422,3300.7599999999998,99,11.604747474747473
21500,PINK POLKADOT WRAP,8125,3298.5,260,0.4165384615384615
22176,BLUE OWL SOFT TOY,1088,3297.93,257,3.3631660231660234
22183,CAKE STAND VICTORIAN FILIGREE MED,586,3297.25,209,6.313157894736842
20702,PINK PADDED MOBILE,782,3296.7,245,4.303225806451613
21239,PINK  POLKADOT CUP,3685,3292.9,382,1.1207012987012985
20681,PINK SPOTTY CHILDS UMBRELLA,1000,3292.86,206,3.6892270531400966
22122,SET OF 2 FANCY FONT TEA TOWELS,1095,3290.08,191,3.4707142857142856
37410,BLACK AND WHITE PAISLEY FLOWER MUG,25707,3288.65,33,7.556969696969697
22281,EASTER TREE YELLOW BIRDS,511,3285.86,149,8.12261744966443
84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE,840,3279.66,271,4.744311594202899
22762,CUPBOARD 3 DRAWER MA CAMPAGNE,204,3276.62,133,17.33932330827068
23308,SET OF 60 VINTAGE LEAF CAKE CASES,6139,3272.6099999999997,382,0.6942159383033419
22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,1171,3271.41,138,3.0120289855072464
22794,SWEETHEART WIRE MAGAZINE RACK,389,3271.35,209,8.881196172248805
84975,HEART SHAPED MIRROR,1990,3266.4,212,2.0309345794392524
21467,CHERRY CROCHET FOOD COVER,1025,3263.75,254,4.033984375
23395,BELLE JARDINIERE CUSHION COVER,748,3257.08,210,4.915592417061611
23053,RECYCLED ACAPULCO MAT PINK,364,3254.32,164,9.819390243902438
21477,STRING OF 20 ROSE LIGHTS,273,3248.94,45,14.872666666666666
22059,CERAMIC STRAWBERRY DESIGN MUG,2593,3245.93,243,1.668893280632411
84849B,FAIRY SOAP SOAP HOLDER,1936,3244.14,293,2.0241496598639457
84596F,SMALL MARSHMALLOWS PINK BOWL,4739,3243.32,614,0.8886516853932585
22419,LIPSTICK PEN RED,6847,3242.59,509,0.5990366088631984
21829,DINOSAUR KEYRINGS ASSORTED,15035,3242.18,409,0.264126213592233
22792,FLUTED ANTIQUE CANDLE HOLDER,3489,3241.13,262,1.124885496183206
22733,3D TRADITIONAL CHRISTMAS STICKERS,2461,3238.49,302,1.5417532467532469
23051,RECYCLED ACAPULCO MAT BLUE,365,3223.49,162,9.636790123456791
20992,JAZZ HEARTS PURSE NOTEBOOK,6151,3220.3999999999996,433,0.6853215077605321
23230,WRAP ALPHABET DESIGN,7976,3217.92,235,0.41736170212765955
21732,RED HANGING METAL STAR TLIGHT HLDR,925,3214.57,58,3.8156666666666665
21473,SWEETHEART CREAM STEEL TABLE RECT,157,3212.16,90,20.839
22194,BLACK DINER WALL CLOCK,373,3212.1,160,9.188625
84837,WHITE SWEETHEARTS CABINET 4 DRAWERS,251,3210.04,143,13.428888888888888
79323GR,GREEN CHERRY LIGHTS,532,3209.36,83,7.097469879518073
23393,HOME SWEET HOME CUSHION COVER,801,3207.91,229,4.481428571428571
79164,BLACK WINE GLASS,3653,3196.0099999999998,91,6.560434782608695
21986,PACK OF 12 PINK SPOT TISSUES,8317,3194.19,197,0.40386934673366837
21333,CLASSIC WHITE FRAME,1057,3192.09,222,3.225765765765766
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",1379,3187.16,214,3.501898148148148
21830,ASSORTED CREEPY CRAWLIES,7658,3185.6,256,0.46162790697674416
21628,TRIANGULAR POUFFE VINTAGE,164,3185.2799999999997,87,22.65022988505747
21584,RETRO SPOT SMALL TUBE MATCHES,2005,3183.45,131,1.647037037037037
22503,CABIN BAG VINTAGE PAISLEY,141,3178.02,54,25.080925925925925
84968C,S/16 VINTAGE PISTACHIO CUTLERY,262,3177.2999999999997,58,14.377758620689654
21557,SET OF 6 FUNKY BEAKERS,932,3169.39,302,4.149375
22863,SOAP DISH BROCANTE,1107,3166.61,169,3.2187058823529417
21936,RED/WHITE SPOT PICNIC BAG,1125,3164.59,111,3.6107964601769913
21949,SET OF 6 STRAWBERRY CHOPSTICKS,2598,3164.18,269,1.7667777777777778
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,1488,3162.64,250,2.342896825396825
23342,MINT DINER WALL CLOCK,371,3159.41,162,8.835555555555555
22702,BLACK AND WHITE CAT BOWL,1589,3156.3199999999997,94,2.176842105263158
22700,BLACK AND WHITE DOG BOWL,1384,3155.4,98,2.8379591836734694
84944,SET OF 6 KASHMIR FOLKART BAUBLES,1135,3153.88,194,3.8585204081632654
21519,GIN & TONIC DIET GREETING CARD,7356,3149.93,553,0.5015342960288808
23035,DRAWER KNOB CERAMIC IVORY,2155,3147.79,190,1.646020942408377
23323,WHITE WICKER STAR,1469,3146.7799999999997,294,2.251291390728477
22313,OFFICE MUG WARMER PINK,985,3146.07,137,4.273453237410072
21705,BAG 500g SWIRLY MARBLES,2534,3145.71,225,1.8070175438596492
21239,PINK  SPOTTY CUP,3684,3145.4900000000002,369,0.9951612903225806
21500,PINK SPOTS  WRAP,7825,3144.5,232,0.41620689655172416
22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,2368,3141.11,226,1.5384782608695653
22325,MOBILE VINTAGE HEARTS,699,3139.99,224,5.006
21820,GLITTER HEART GARLAND WITH BELLS,795,3132.39,180,4.692065217391304
82578,KITCHEN METAL SIGN,5595,3129.24,704,0.7130898876404494
22095,LADS ONLY TISSUE BOX,2978,3123.0299999999997,284,1.3891780821917807
23346,SPACEBOY BEAKER,2628,3112.34,184,1.5186559139784948
21352,EUCALYPTUS & PINECONE  WREATH,880,3110.2799999999997,158,5.293647798742139
21272,SALLE DE BAIN HOOK,2348,3109.83,339,1.6387209302325583
22406,MONEY BOX KINGS CHOICE DESIGN,2451,3104.35,214,1.467685185185185
22891,TEA FOR ONE POLKADOT,644,3103.7,230,5.596608695652174
22177,5 HOOK BLACKBOARD ORGANISER,325,3101.46,125,11.89312
22972,CHILDREN'S SPACEBOY MUG,1810,3100.94,238,1.995774058577406
47504K,ENGLISH ROSE GARDEN SECATEURS,2654,3096.08,312,1.8726498422712934
22572,ROCKING HORSE GREEN CHRISTMAS,3439,3087.18,362,1.0399731903485254
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,2338,3083.82,236,1.7566390041493773
79072,TEATIME CAKE TIN WITH HANDLE,284,3083.2,107,12.714485981308412
21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",775,3077.01,69,5.066811594202899
84279B,CHERRY BLOSSOM DECORATIVE FLASK,808,3076.92,215,4.296511627906977
21765,HANGING METAL BIRD BATH,371,3076.3900000000003,143,9.029794520547947
22347,PIZZA SLICE DISH,2680,3074.18,113,1.6698230088495576
23188,VINTAGE  2 METER FOLDING RULER,1844,3073.7200000000003,181,1.8808196721311474
22372,AIRLINE BAG VINTAGE WORLD CHAMPION,604,3073.43,287,5.338298611111111
22154,ANGEL DECORATION 3 BUTTONS,7114,3073.32,317,0.5343768996960486
84912B,GREEN ROSE WASHBAG,1125,3072.64,259,3.5072030651340995
22473,TV DINNER TRAY VINTAGE PAISLEY,811,3070.92,209,5.201387559808612
22757,LARGE RED BABUSHKA NOTEBOOK,2696,3070.18,308,1.519105431309904
21206,STRAWBERRY HONEYCOMB  GARLAND,2155,3067.9,238,1.8592916666666666
21537,RED RETROSPOT PUDDING BOWL,711,3065.45,182,4.668387096774194
22963,JAM JAR WITH GREEN LID,3670,3060.43,317,1.073625
20985,HEART CALCULATOR,2370,3047.99,291,1.5422333333333333
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,701,3047.91,255,4.753529411764706
21408,SPOTTY PINK DUCK DOORSTOP,703,3045.31,240,5.908458333333333
22754,SMALL RED BABUSHKA NOTEBOOK,3924,3044.8599999999997,492,0.994507042253521
23461,SWEETHEART BIRD HOUSE,847,3041.21,94,4.551500000000001
23329,DECORATIVE WICKER HEART LARGE,1767,3038.19,233,1.7691199999999998
22208,WOOD STAMP SET THANK YOU,2366,3036.9500000000003,433,1.5570748299319728
22037,ROBOT BIRTHDAY CARD,7054,3035.7,634,0.521748031496063
21588,RETRO SPOT GIANT  TUBE MATCHES,1295,3034.9500000000003,102,2.5240384615384617
15044C,PURPLE PAPER PARASOL,967,3027.2599999999998,231,3.820387931034483
23242,TREASURE TIN BUFFALO BILL,1470,3024.63,214,2.2825345622119815
23237,SET OF 4 KNICK KNACK TINS LEAF,747,3020.61,123,4.271626016260163
22067,CHOC TRUFFLE GOLD TRINKET POT,1855,3019.32,252,2.096968503937008
21626,VINTAGE UNION JACK PENNANT,1496,3017.0699999999997,204,2.3283009708737863
22349,"DOG BOWL , CHASING BALL DESIGN",754,3014.3,136,4.172205882352941
22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,3431,3012.78,250,0.9221259842519685
84912A,PINK ROSE WASHBAG,1096,3012.0,232,3.6381115879828325
22202,MILK PAN PINK RETROSPOT,743,3011.2400000000002,184,5.120486486486486
22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,2207,3008.82,231,1.664025974025974
23236,DOILEY STORAGE TIN,1094,3004.46,122,3.103008130081301
22712,CARD DOLLY GIRL,7295,3002.42,508,0.5518664047151277
22755,SMALL PURPLE BABUSHKA NOTEBOOK,3776,2997.63,499,0.9772189349112426
23390,DOLLY GIRL MINI BACKPACK,739,2992.3900000000003,161,4.392682926829269
22132,RED LOVE HEART SHAPE CUP,3345,2989.81,388,1.149254498714653
22925,BLUE GIANT GARDEN THERMOMETER,488,2989.52,191,6.48421875
21507,"ELEPHANT, BIRTHDAY CARD,",7113,2980.63,489,0.49518367346938774
21354,TOAST ITS - BEST MUM,2476,2979.46,217,1.4986238532110092
22375,AIRLINE BAG VINTAGE JET SET BROWN,590,2969.29,284,5.488701754385965
22519,CHILDS GARDEN BRUSH PINK,1425,2968.77,258,2.477846153846154
21706,"FOLDING UMBRELLA , RED/WHITE SPOT",916,2962.82,104,5.286153846153846
22905,CALENDAR IN SEASON DESIGN,1077,2957.17,194,2.9630769230769234
22674,FRENCH TOILET SIGN BLUE METAL,2377,2956.33,297,1.4519666666666666
22664,TOY TIDY DOLLY GIRL DESIGN,1429,2954.19,266,2.761428571428571
22816,CARD MOTORBIKE SANTA,6856,2950.93,436,0.4823006833712984
22927,GREEN GIANT GARDEN THERMOMETER,468,2948.57,162,6.695493827160495
23211,RED ROCKING HORSE HAND PAINTED,2329,2930.57,160,1.5651851851851852
22071,SMALL WHITE RETROSPOT MUG IN BOX,1147,2929.75,175,3.8278531073446325
85049D,BRIGHT BLUES RIBBONS,2332,2927.88,402,1.326479217603912
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,1400,2927.49,250,2.475277777777778
21948,SET OF 6 CAKE CHOPSTICKS,2293,2921.36,267,1.8755762081784386
21214,SET OF 72 IVORY PAPER DOILIES,2006,2920.8199999999997,199,1.9927722772277228
22990,COTTON APRON PANTRY DESIGN,633,2917.43,164,5.315301204819277
21592,RETROSPOT CIGAR BOX MATCHES,2772,2900.46,286,1.1606101694915254
22518,CHILDS GARDEN BRUSH BLUE,1398,2899.7999999999997,266,2.545430711610487
23290,SPACEBOY CHILDRENS BOWL,2430,2890.35,214,1.4357009345794394
22184,CAKE STAND VICTORIAN FILIGREE LARGE,389,2887.07,146,9.19986301369863
21584,RETROSPOT SMALL TUBE MATCHES,1764,2886.6,221,1.6482905982905982
23345,DOLLY GIRL BEAKER,2451,2886.25,174,1.5064204545454545
22955,36 FOIL STAR CAKE CASES,1448,2885.2599999999998,185,2.2595312499999998
22811,SET OF 6 T-LIGHTS CACTI,1021,2884.13,140,4.010921985815602
23283,DOORMAT VINTAGE LEAVES DESIGN,430,2881.18,91,7.847912087912087
23056,FLOWERS CHANDELIER T-LIGHT HOLDER,960,2879.37,38,6.182564102564102
21240,BLUE  SPOTTY CUP,3390,2877.47,370,0.9885714285714285
85114C,RED ENCHANTED FOREST PLACEMAT,1364,2875.7,203,2.246730769230769
21465,PINK FLOWER CROCHET FOOD COVER,793,2875.64,187,4.030588235294117
21821,GLITTER STAR GARLAND WITH BELLS,713,2866.6,153,4.836602564102564
22072,TEA CUP AND SAUCER RETRO SPOT,700,2866.34,137,4.624892086330935
85132B,CHARLIE AND LOLA TABLE TINS,929,2863.37,133,5.291654135338345
22480,RED TEA TOWEL CLASSIC DESIGN,2368,2863.06,263,1.2736704119850186
21424,WOODLAND STORAGE BOX LARGE,955,2861.64,142,4.811619718309859
23427,STOOL HOME SWEET HOME,237,2860.58,114,12.967478260869566
22073,RETRO SPOT STORAGE JAR,729,2853.29,155,4.591075949367089
22581,WOOD STOCKING CHRISTMAS SCANDISPOT,3565,2852.63,380,0.9357179487179488
23504,PLAYING CARDS JUBILEE UNION JACK,1927,2848.89,208,1.3483410138248846
22930,BAKING MOULD HEART MILK CHOCOLATE,1108,2846.8,189,3.073350785340314
